query,group,time,value
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-02T00:00:00.000Z,3598.73876953125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-03T00:00:00.000Z,4089.310546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-04T00:00:00.000Z,4241.1611328125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-05T00:00:00.000Z,4246.0029296875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-06T00:00:00.000Z,4104.439453125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-07T00:00:00.000Z,3377.132080078125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-08T00:00:00.000Z,3404.9560546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-09T00:00:00.000Z,4409.60009765625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-10T00:00:00.000Z,4494.3134765625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-11T00:00:00.000Z,4448.10107421875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-12T00:00:00.000Z,4499.5146484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-13T00:00:00.000Z,4358.51708984375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-14T00:00:00.000Z,3476.95556640625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-15T00:00:00.000Z,3501.323974609375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-16T00:00:00.000Z,4312.84033203125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-17T00:00:00.000Z,4514.0927734375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-18T00:00:00.000Z,4576.8056640625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-19T00:00:00.000Z,4554.6640625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-20T00:00:00.000Z,4392.4365234375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-21T00:00:00.000Z,3540.212646484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-22T00:00:00.000Z,3560.6630859375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-23T00:00:00.000Z,4563.46044921875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-24T00:00:00.000Z,4587.3310546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-25T00:00:00.000Z,4603.021484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-26T00:00:00.000Z,4542.99462890625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-27T00:00:00.000Z,4444.34423828125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-28T00:00:00.000Z,3536.246337890625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-29T00:00:00.000Z,3548.7041015625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-30T00:00:00.000Z,4543.26123046875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-31T00:00:00.000Z,4618.6142578125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-01T00:00:00.000Z,4606.00830078125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-02T00:00:00.000Z,4578.25146484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-03T00:00:00.000Z,4444.392578125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-04T00:00:00.000Z,3496.73583984375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-05T00:00:00.000Z,3531.725341796875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-06T00:00:00.000Z,4561.12841796875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-07T00:00:00.000Z,4597.458984375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-08T00:00:00.000Z,4846.40625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-09T00:00:00.000Z,4861.56396484375
